Scope 2: Indirect Emissions from Electricity Purchases,,,,,,,,,,,,,,,,,,,,,,,
"This section includes emissions from all stationary combustion of fossil fuels done in direct proportion to an energy source purchased by the institution; i.e. purchased electricity and steam generated outside the geographic/control boundaries set in the introduction, yet consumed within them.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calculating kWH of Carbon Emitting Electricity Sources,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year:,,,,,,,,,,,,,,,,,,,,,,
Value,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 22/23,FY 23/24,FY 24/25,,,
MTCDE from CH4,0.002,0.004,0.002,0.010,0.000,0.001,0.006,0.051,0.469,0.482,0.005,0.015,0.218,0.009,0.000,0.000,,0.000,0.000,0.000,,,
Tonnes N2O,0.00002,0.00004,0.00002,0.00009,0.00000,0.00001,0.00005,0.00049,0.00446,0.00458,0.00005,0.00014,0.00207,0.00009,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
MTCDE from N2O,0.007,0.011,0.007,0.028,0.000,0.004,0.017,0.151,1.384,1.421,0.015,0.045,0.643,0.028,0.000,0.000,,0.000,0.000,0.000,,,
"ΣMTCDE from #1, 2, & 4 Oil",2.5,4.2,2.7,10.9,0.0,1.6,6.6,58.7,539.4,553.7,5.8,17.5,250.6,10.9,0.0,0.0,,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
#5 & 6 Fuel Oil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 21/22,FY 21/22,FY 21/22,,,
kWh from Fuel Oil,"63,486","129,287","76,921",0,"22,004","14,866","19,411","18,974",0,0,0,0,0,0,0,0,,0,0,0,,,
MMBTUs of electricity,216.6,441.1,262.5,0.0,75.1,50.7,66.2,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Metric Tonnes CO2,16.9,34.4,20.5,0.0,5.9,4.0,5.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Tonnes CH4,0.00065,0.00133,0.00079,0.00000,0.00023,0.00015,0.00020,0.00019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
MTCDE from CH4,0.014,0.028,0.017,0.000,0.005,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,
Tonnes N2O,0.00013,0.00027,0.00016,0.00000,0.00005,0.00003,0.00004,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
MTCDE from N2O,0.040,0.082,0.049,0.000,0.014,0.009,0.012,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,
ΣMTCDE from #5 & 6 Oil,17.0,34.5,20.6,0.0,5.9,4.0,5.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
Other - NPCC New England Grid Assumed,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 21/22,FY 21/22,FY 21/22,,,
kWh from NPCC,"1,384,037","2,120,179","2,011,923","398,928","1,210,233","955,680",22,21,0,0,"2,005,862","322,398",0,"199,424",0,0,,0,0,0,,,
